function,x_dim,c_dim,method,repeat,client,t,regret
ackley,1,2,fd,0,-1,0,0.14647985938802868
ackley,1,2,fd,0,-1,1,0.13582303882343572
ackley,1,2,fd,0,-1,2,0.13536473552260933
ackley,1,2,fd,0,-1,3,0.09649915089154981
ackley,1,2,fd,0,-1,4,0.10673242096666327
ackley,1,2,fd,0,-1,5,0.08667980647082435
ackley,1,2,fd,0,-1,6,0.09127921240781717
ackley,1,2,fd,0,-1,7,0.07565243391407052
ackley,1,2,fd,0,-1,8,0.0694008237010066
ackley,1,2,fd,0,-1,9,0.07544488600552066
ackley,1,2,fd,0,-1,10,0.06917148750092637
ackley,1,2,fd,0,-1,11,0.08153483785040887
ackley,1,2,fd,0,-1,12,0.06376077654099485
ackley,1,2,fd,0,-1,13,0.05593130987571451
ackley,1,2,fd,0,-1,14,0.0568824183499138
ackley,1,2,fd,0,-1,15,0.049315159743133774
ackley,1,2,fd,0,-1,16,0.06142354855909758
ackley,1,2,fd,0,-1,17,0.04850001920790523
ackley,1,2,fd,0,-1,18,0.06373500189969697
ackley,1,2,fd,0,-1,19,0.051130052351037784
ackley,1,2,fd,0,-1,20,0.052344545866675
ackley,1,2,fd,0,-1,21,0.049658961596525525
ackley,1,2,fd,0,-1,22,0.05298123741840409
ackley,1,2,fd,0,-1,23,0.058672435772840884
ackley,1,2,fd,0,-1,24,0.04993040552536291
ackley,1,2,fd,0,-1,25,0.049190691857065066
ackley,1,2,fd,0,-1,26,0.0454241395454989
ackley,1,2,fd,0,-1,27,0.05434464558231146
ackley,1,2,fd,0,-1,28,0.04362478091896219
ackley,1,2,fd,0,-1,29,0.042415211672217866
ackley,1,2,fd,0,-1,30,0.03430009385373695
ackley,1,2,fd,0,-1,31,0.036115915883446086
ackley,1,2,fd,0,-1,32,0.03726951807754759
ackley,1,2,fd,0,-1,33,0.03984324777953079
ackley,1,2,fd,0,-1,34,0.036392594525469106
ackley,1,2,fd,0,-1,35,0.03841685869710297
ackley,1,2,fd,0,-1,36,0.037848234418589
ackley,1,2,fd,0,-1,37,0.034894653686851906
ackley,1,2,fd,0,-1,38,0.03099031437358663
ackley,1,2,fd,0,-1,39,0.032523526484633546
