function,x_dim,c_dim,method,repeat,client,t,regret
ackley,2,2,fd,0,-1,0,0.08727024751665571
ackley,2,2,fd,0,-1,1,0.07863362272417915
ackley,2,2,fd,0,-1,2,0.05485194480472534
ackley,2,2,fd,0,-1,3,0.0546932804441094
ackley,2,2,fd,0,-1,4,0.047607286925225235
ackley,2,2,fd,0,-1,5,0.05112180867581788
ackley,2,2,fd,0,-1,6,0.06647783082159904
ackley,2,2,fd,0,-1,7,0.0481967335645392
ackley,2,2,fd,0,-1,8,0.049586363194691924
ackley,2,2,fd,0,-1,9,0.05751388795310938
ackley,2,2,fd,0,-1,10,0.07095971979069918
ackley,2,2,fd,0,-1,11,0.06864402296078582
ackley,2,2,fd,0,-1,12,0.06238987977580593
ackley,2,2,fd,0,-1,13,0.06599058122637405
ackley,2,2,fd,0,-1,14,0.06439350725918533
ackley,2,2,fd,0,-1,15,0.05268072393760027
ackley,2,2,fd,0,-1,16,0.05200197002937628
ackley,2,2,fd,0,-1,17,0.0555075409416517
ackley,2,2,fd,0,-1,18,0.05287224455958525
ackley,2,2,fd,0,-1,19,0.05273002322713271
ackley,2,2,fd,0,-1,20,0.048069005848262965
ackley,2,2,fd,0,-1,21,0.050616668356409864
ackley,2,2,fd,0,-1,22,0.047680632916120534
ackley,2,2,fd,0,-1,23,0.04951690171922728
ackley,2,2,fd,0,-1,24,0.04409792713828804
ackley,2,2,fd,0,-1,25,0.042988639521589676
ackley,2,2,fd,0,-1,26,0.04080448982513667
ackley,2,2,fd,0,-1,27,0.03937997053410728
ackley,2,2,fd,0,-1,28,0.03847554203983246
ackley,2,2,fd,0,-1,29,0.03843149885023066
ackley,2,2,fd,0,-1,30,0.03782516604721083
ackley,2,2,fd,0,-1,31,0.037753577510631256
ackley,2,2,fd,0,-1,32,0.03650423933412121
ackley,2,2,fd,0,-1,33,0.03102268297376331
ackley,2,2,fd,0,-1,34,0.027606077520080385
ackley,2,2,fd,0,-1,35,0.02873190091535879
ackley,2,2,fd,0,-1,36,0.0331088696559608
ackley,2,2,fd,0,-1,37,0.03154705628186702
ackley,2,2,fd,0,-1,38,0.029869044073998575
ackley,2,2,fd,0,-1,39,0.03533393903874463
ackley,2,2,fd,0,-1,40,0.027254522858540117
ackley,2,2,fd,0,-1,41,0.027745146690523036
ackley,2,2,fd,0,-1,42,0.03420363393539617
ackley,2,2,fd,0,-1,43,0.03594110964405785
ackley,2,2,fd,0,-1,44,0.027980884993887928
ackley,2,2,fd,0,-1,45,0.029335914366731934
ackley,2,2,fd,0,-1,46,0.04005105395982637
ackley,2,2,fd,0,-1,47,0.027980620454207593
ackley,2,2,fd,0,-1,48,0.02595645752113525
ackley,2,2,fd,0,-1,49,0.02831064765759246
ackley,2,2,fd,0,-1,50,0.031328593341572196
ackley,2,2,fd,0,-1,51,0.030106974812883682
ackley,2,2,fd,0,-1,52,0.026939998078641954
ackley,2,2,fd,0,-1,53,0.022571155748145173
ackley,2,2,fd,0,-1,54,0.02259065478701171
ackley,2,2,fd,0,-1,55,0.025666382745264005
ackley,2,2,fd,0,-1,56,0.025394409092077755
ackley,2,2,fd,0,-1,57,0.028667091301515527
ackley,2,2,fd,0,-1,58,0.02601821892530799
ackley,2,2,fd,0,-1,59,0.018160207696923603
ackley,2,2,fd,0,-1,60,0.018533256394465823
ackley,2,2,fd,0,-1,61,0.018094405230646222
ackley,2,2,fd,0,-1,62,0.018116887555982966
ackley,2,2,fd,0,-1,63,0.026366685911710923
ackley,2,2,fd,0,-1,64,0.017210434527479217
ackley,2,2,fd,0,-1,65,0.02299809003732071
ackley,2,2,fd,0,-1,66,0.015471169041507698
ackley,2,2,fd,0,-1,67,0.023950780624419604
ackley,2,2,fd,0,-1,68,0.014911105175988827
ackley,2,2,fd,0,-1,69,0.014472847467917594
ackley,2,2,fd,0,-1,70,0.01873570764593882
ackley,2,2,fd,0,-1,71,0.018952078561626083
ackley,2,2,fd,0,-1,72,0.02350348792112962
ackley,2,2,fd,0,-1,73,0.018848930223819445
ackley,2,2,fd,0,-1,74,0.018610369904132392
ackley,2,2,fd,0,-1,75,0.01845130429468118
ackley,2,2,fd,0,-1,76,0.018183707810374598
ackley,2,2,fd,0,-1,77,0.020730422034770112
ackley,2,2,fd,0,-1,78,0.020753188277127348
