function,x_dim,c_dim,method,repeat,client,t,regret
levy,2,2,fd,0,-1,0,0.19468874133546385
levy,2,2,fd,0,-1,1,0.1820031582625007
levy,2,2,fd,0,-1,2,0.16545045122557775
levy,2,2,fd,0,-1,3,0.1608495740939936
levy,2,2,fd,0,-1,4,0.17106128876170545
levy,2,2,fd,0,-1,5,0.13763858786085817
levy,2,2,fd,0,-1,6,0.1323853846505371
levy,2,2,fd,0,-1,7,0.1159392113919977
levy,2,2,fd,0,-1,8,0.11158932971901088
levy,2,2,fd,0,-1,9,0.0988273577363138
levy,2,2,fd,0,-1,10,0.10089442196354836
levy,2,2,fd,0,-1,11,0.10357507130017676
levy,2,2,fd,0,-1,12,0.11118620853250895
levy,2,2,fd,0,-1,13,0.11292263867534222
levy,2,2,fd,0,-1,14,0.10751945718483077
levy,2,2,fd,0,-1,15,0.12684354021962396
levy,2,2,fd,0,-1,16,0.10769418752667839
levy,2,2,fd,0,-1,17,0.11321855844265735
levy,2,2,fd,0,-1,18,0.11328513044855477
levy,2,2,fd,0,-1,19,0.11185990692912932
levy,2,2,fd,0,-1,20,0.1155338862697208
levy,2,2,fd,0,-1,21,0.11084211774509
levy,2,2,fd,0,-1,22,0.10892654044992398
levy,2,2,fd,0,-1,23,0.12253455447540466
levy,2,2,fd,0,-1,24,0.10015709938146745
levy,2,2,fd,0,-1,25,0.1002452571880524
levy,2,2,fd,0,-1,26,0.09924235643899637
levy,2,2,fd,0,-1,27,0.0999673196286868
levy,2,2,fd,0,-1,28,0.09958692369419381
levy,2,2,fd,0,-1,29,0.09877674285641093
levy,2,2,fd,0,-1,30,0.09815956286786291
levy,2,2,fd,0,-1,31,0.09789212232257596
levy,2,2,fd,0,-1,32,0.11455836412691328
levy,2,2,fd,0,-1,33,0.097346902865243
levy,2,2,fd,0,-1,34,0.09613567061758886
levy,2,2,fd,0,-1,35,0.09452506064421491
levy,2,2,fd,0,-1,36,0.09071092435917849
levy,2,2,fd,0,-1,37,0.11356262707053119
levy,2,2,fd,0,-1,38,0.09043013347669042
levy,2,2,fd,0,-1,39,0.09140189007428784
levy,2,2,fd,0,-1,40,0.09032525941067732
levy,2,2,fd,0,-1,41,0.09025617879403885
levy,2,2,fd,0,-1,42,0.08850413819063711
levy,2,2,fd,0,-1,43,0.08517344603470656
levy,2,2,fd,0,-1,44,0.08375005394534685
levy,2,2,fd,0,-1,45,0.08256382427488537
levy,2,2,fd,0,-1,46,0.0838738044132926
levy,2,2,fd,0,-1,47,0.0840455781460024
levy,2,2,fd,0,-1,48,0.08447425116594738
levy,2,2,fd,0,-1,49,0.08251506508787224
levy,2,2,fd,0,-1,50,0.08287707979236948
levy,2,2,fd,0,-1,51,0.08398546974138753
levy,2,2,fd,0,-1,52,0.08300830163263927
levy,2,2,fd,0,-1,53,0.08435345122265417
levy,2,2,fd,0,-1,54,0.08946066329344605
levy,2,2,fd,0,-1,55,0.08503739168590875
levy,2,2,fd,0,-1,56,0.0845619992087405
levy,2,2,fd,0,-1,57,0.08563461268484897
levy,2,2,fd,0,-1,58,0.08491757314755419
levy,2,2,fd,0,-1,59,0.08228939490953815
levy,2,2,fd,0,-1,60,0.07857879245117955
levy,2,2,fd,0,-1,61,0.07677682947243897
levy,2,2,fd,0,-1,62,0.07636943893032333
levy,2,2,fd,0,-1,63,0.07673032943227087
levy,2,2,fd,0,-1,64,0.07867295812358871
levy,2,2,fd,0,-1,65,0.08007962261083786
levy,2,2,fd,0,-1,66,0.07883627952973844
levy,2,2,fd,0,-1,67,0.08095258196574612
levy,2,2,fd,0,-1,68,0.08109297530371129
levy,2,2,fd,0,-1,69,0.08048693690909489
levy,2,2,fd,0,-1,70,0.08090088427281676
levy,2,2,fd,0,-1,71,0.08260526134725629
levy,2,2,fd,0,-1,72,0.08313349164472925
levy,2,2,fd,0,-1,73,0.08204295447689379
levy,2,2,fd,0,-1,74,0.08225732584120164
levy,2,2,fd,0,-1,75,0.08223903182216143
levy,2,2,fd,0,-1,76,0.08194211217110055
levy,2,2,fd,0,-1,77,0.08240745555746985
levy,2,2,fd,0,-1,78,0.08088439118629889
levy,2,2,fd,0,-1,79,0.08119152608718852
levy,2,2,fd,1,-1,0,0.16235644369900554
levy,2,2,fd,1,-1,1,0.1340344961754674
levy,2,2,fd,1,-1,2,0.1224665467590923
levy,2,2,fd,1,-1,3,0.13386743370615994
levy,2,2,fd,1,-1,4,0.13105098022696196
levy,2,2,fd,1,-1,5,0.13054349695448858
levy,2,2,fd,1,-1,6,0.1281214689243203
levy,2,2,fd,1,-1,7,0.12713742094088593
levy,2,2,fd,1,-1,8,0.11511099340701296
levy,2,2,fd,1,-1,9,0.1128614421216134
levy,2,2,fd,1,-1,10,0.11533769502304582
levy,2,2,fd,1,-1,11,0.11703904287819634
levy,2,2,fd,1,-1,12,0.10576020235779486
levy,2,2,fd,1,-1,13,0.10785589301061084
levy,2,2,fd,1,-1,14,0.10501610915957262
levy,2,2,fd,1,-1,15,0.08742855730079717
levy,2,2,fd,1,-1,16,0.08768347572593635
levy,2,2,fd,1,-1,17,0.09637333543943065
levy,2,2,fd,1,-1,18,0.0923453808597286
levy,2,2,fd,1,-1,19,0.08958328325649878
levy,2,2,fd,1,-1,20,0.08753084585008232
levy,2,2,fd,1,-1,21,0.11131779444449415
levy,2,2,fd,1,-1,22,0.08565297202080135
levy,2,2,fd,1,-1,23,0.0835053536241027
levy,2,2,fd,1,-1,24,0.08357302866812147
levy,2,2,fd,1,-1,25,0.08182838891445468
levy,2,2,fd,1,-1,26,0.07292016796312474
levy,2,2,fd,1,-1,27,0.06578833871549927
levy,2,2,fd,1,-1,28,0.0672191866828162
levy,2,2,fd,1,-1,29,0.06881301695310792
levy,2,2,fd,1,-1,30,0.0683813148221349
levy,2,2,fd,1,-1,31,0.06191823685983078
levy,2,2,fd,1,-1,32,0.06176757320035074
levy,2,2,fd,1,-1,33,0.06077485171247175
levy,2,2,fd,1,-1,34,0.08452801423191103
levy,2,2,fd,1,-1,35,0.055187759887217774
levy,2,2,fd,1,-1,36,0.05365075586731283
levy,2,2,fd,1,-1,37,0.0564450167677122
levy,2,2,fd,1,-1,38,0.06054926420932993
levy,2,2,fd,1,-1,39,0.06020271322627929
levy,2,2,fd,1,-1,40,0.06134472576516806
levy,2,2,fd,1,-1,41,0.06411328682730506
levy,2,2,fd,1,-1,42,0.06373946203985428
levy,2,2,fd,1,-1,43,0.06168731055215919
levy,2,2,fd,1,-1,44,0.06286542225840672
levy,2,2,fd,1,-1,45,0.06375694035899782
levy,2,2,fd,1,-1,46,0.06202404290451569
levy,2,2,fd,1,-1,47,0.05976810386030324
levy,2,2,fd,1,-1,48,0.06060467339367343
levy,2,2,fd,1,-1,49,0.06003479788961306
levy,2,2,fd,1,-1,50,0.05906716460462322
levy,2,2,fd,1,-1,51,0.056980548109122134
levy,2,2,fd,1,-1,52,0.0577686674433038
levy,2,2,fd,1,-1,53,0.060469639703002724
levy,2,2,fd,1,-1,54,0.06091580055198232
levy,2,2,fd,1,-1,55,0.055677978649391106
levy,2,2,fd,1,-1,56,0.05809422391040002
levy,2,2,fd,1,-1,57,0.05452268796258358
levy,2,2,fd,1,-1,58,0.05166716727650808
levy,2,2,fd,1,-1,59,0.06403583272135994
levy,2,2,fd,1,-1,60,0.05182540018153982
levy,2,2,fd,1,-1,61,0.05088184846387668
levy,2,2,fd,1,-1,62,0.05286539580538689
levy,2,2,fd,1,-1,63,0.05310686077310541
levy,2,2,fd,1,-1,64,0.05239596233357945
levy,2,2,fd,1,-1,65,0.0524085567362471
levy,2,2,fd,1,-1,66,0.05373458230177918
levy,2,2,fd,1,-1,67,0.05427811012448985
levy,2,2,fd,1,-1,68,0.052023389462218565
levy,2,2,fd,1,-1,69,0.04995115957484618
levy,2,2,fd,1,-1,70,0.052486069813405915
levy,2,2,fd,1,-1,71,0.053863085312470096
levy,2,2,fd,1,-1,72,0.053809953394736626
levy,2,2,fd,1,-1,73,0.05181186376720456
levy,2,2,fd,1,-1,74,0.05378647215742092
levy,2,2,fd,1,-1,75,0.05460051186081566
levy,2,2,fd,1,-1,76,0.05452925118367353
levy,2,2,fd,1,-1,77,0.05551779465272668
levy,2,2,fd,1,-1,78,0.054929489193019786
levy,2,2,fd,1,-1,79,0.05617761195194704
levy,2,2,fd,2,-1,0,0.16854965978020306
levy,2,2,fd,2,-1,1,0.16344888920567488
levy,2,2,fd,2,-1,2,0.1301716857661717
levy,2,2,fd,2,-1,3,0.1262321991286029
levy,2,2,fd,2,-1,4,0.12455526685351512
levy,2,2,fd,2,-1,5,0.1185074185678528
levy,2,2,fd,2,-1,6,0.1488073321183752
levy,2,2,fd,2,-1,7,0.15045316066565664
levy,2,2,fd,2,-1,8,0.10980410317656969
levy,2,2,fd,2,-1,9,0.10769059799744263
levy,2,2,fd,2,-1,10,0.10682547812544559
levy,2,2,fd,2,-1,11,0.09500309372619677
